"Machines > Bridgeport Mill 3 > Spindle > X-Axial > Temperature",,,,,"Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation",,,,,"Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Velocity",,,,,"Machines > Bridgeport Mill 3 > Spindle > X-Axial > RMS Velocity",,,,,"Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation",,,,,"Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Acceleration",,,,,"Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Acceleration",,,,,"Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Velocity",,,,,"Machines > Bridgeport Mill 3 > Spindle > Y-Radial > RMS Velocity",,,,,"Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Temperature",,,,,
Time (UTC), Avg(ChrW(186)F), Min(°F), Max(°F),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(in/sec), Min(in/sec), Max(in/sec),,Time (UTC), Avg(in/sec), Min(in/sec), Max(in/sec),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(g), Min(g), Max(g),,Time (UTC), Avg(g), Min(g), Max(g),,Time (UTC), Avg(in/sec), Min(in/sec), Max(in/sec),,Time (UTC), Avg(in/sec), Min(in/sec), Max(in/sec),,Time (UTC), Avg(°F), Min(°F), Max(°F),,
02/17/2020 17:49:29,62.8266822814941,62.8266822814941,62.8266822814941,,02/17/2020 17:48:41,1.0506971,1.0506971,1.0506971,,02/17/2020 17:48:41,0.0151535,0.0151535,0.0151535,,02/17/2020 17:48:41,0.0049859,0.0049859,0.0049859,,02/17/2020 17:48:41,1.0095271,1.0095271,1.0095271,,02/17/2020 17:48:41,0.0520899,0.0520899,0.0520899,,02/17/2020 17:48:41,0.0389185,0.0389185,0.0389185,,02/17/2020 17:48:41,0.0149994,0.0149994,0.0149994,,02/17/2020 17:48:41,0.0045538,0.0045538,0.0045538,,02/17/2020 17:49:29,62.8266822814941,62.8266822814941,62.8266822814941,,
02/17/2020 17:59:32,62.6066467285156,62.6066467285156,62.6066467285156,,02/17/2020 17:59:33,1.0471126,1.0471126,1.0471126,,02/17/2020 17:59:33,0.0187301,0.0187301,0.0187301,,02/17/2020 17:59:33,0.0047235,0.0047235,0.0047235,,02/17/2020 17:59:33,0.9774097,0.9774097,0.9774097,,02/17/2020 17:59:33,0.0466365,0.0466365,0.0466365,,02/17/2020 17:59:33,0.0522011,0.0522011,0.0522011,,02/17/2020 17:59:33,0.0166092,0.0166092,0.0166092,,02/17/2020 17:59:33,0.0051981,0.0051981,0.0051981,,02/17/2020 17:59:32,62.6066467285156,62.6066467285156,62.6066467285156,,
02/17/2020 18:09:23,62.6066467285156,62.6066467285156,62.6066467285156,,02/17/2020 18:09:25,1.0405087,1.0405087,1.0405087,,02/17/2020 18:09:24,0.0179686,0.0179686,0.0179686,,02/17/2020 18:09:24,0.0055108,0.0055108,0.0055108,,02/17/2020 18:09:24,1.0062276,1.0062276,1.0062276,,02/17/2020 18:09:24,0.0459839,0.0459839,0.0459839,,02/17/2020 18:09:25,0.0454009,0.0454009,0.0454009,,02/17/2020 18:09:25,0.0200972,0.0200972,0.0200972,,02/17/2020 18:09:25,0.0055879,0.0055879,0.0055879,,02/17/2020 18:09:23,62.6066467285156,62.6066467285156,62.6066467285156,,
02/17/2020 18:19:23,62.6066467285156,62.6066467285156,62.6066467285156,,02/17/2020 18:19:16,1.0525217,1.0525217,1.0525217,,02/17/2020 18:19:15,0.0159435,0.0159435,0.0159435,,02/17/2020 18:19:15,0.0056252,0.0056252,0.0056252,,02/17/2020 18:19:15,0.9958699,0.9958699,0.9958699,,02/17/2020 18:19:15,0.0506874,0.0506874,0.0506874,,02/17/2020 18:19:16,0.044762,0.044762,0.044762,,02/17/2020 18:19:16,0.0209061,0.0209061,0.0209061,,02/17/2020 18:19:16,0.0049075,0.0049075,0.0049075,,02/17/2020 18:19:23,62.6066467285156,62.6066467285156,62.6066467285156,,
02/17/2020 18:19:39,62.7899810791016,62.7899810791016,62.7899810791016,,02/17/2020 18:29:09,1.0288828,1.0288828,1.0288828,,02/17/2020 18:29:08,0.0157445,0.0157445,0.0157445,,02/17/2020 18:29:08,0.0044216,0.0044216,0.0044216,,02/17/2020 18:29:08,0.9902942,0.9902942,0.9902942,,02/17/2020 18:29:08,0.0458796,0.0458796,0.0458796,,02/17/2020 18:29:09,0.0450149,0.0450149,0.0450149,,02/17/2020 18:29:09,0.0158905,0.0158905,0.0158905,,02/17/2020 18:29:09,0.0047734,0.0047734,0.0047734,,02/17/2020 18:19:39,62.7899810791016,62.7899810791016,62.7899810791016,,
02/17/2020 18:29:23,62.6066467285156,62.6066467285156,62.6066467285156,,02/17/2020 18:38:59,1.0455436,1.0455436,1.0455436,,02/17/2020 18:38:59,0.0185286,0.0185286,0.0185286,,02/17/2020 18:38:59,0.0063442,0.0063442,0.0063442,,02/17/2020 18:38:59,1.0082532,1.0082532,1.0082532,,02/17/2020 18:38:59,0.0447521,0.0447521,0.0447521,,02/17/2020 18:38:59,0.0458355,0.0458355,0.0458355,,02/17/2020 18:38:59,0.0158185,0.0158185,0.0158185,,02/17/2020 18:38:59,0.0045519,0.0045519,0.0045519,,02/17/2020 18:29:23,62.6066467285156,62.6066467285156,62.6066467285156,,
02/17/2020 18:29:42,62.8633422851562,62.8633422851562,62.8633422851562,,02/17/2020 18:48:51,1.0511384,1.0511384,1.0511384,,02/17/2020 18:48:50,0.01781,0.01781,0.01781,,02/17/2020 18:48:50,0.0056252,0.0056252,0.0056252,,02/17/2020 18:48:50,1.008483,1.008483,1.008483,,02/17/2020 18:48:50,0.0505042,0.0505042,0.0505042,,02/17/2020 18:48:51,0.0445965,0.0445965,0.0445965,,02/17/2020 18:48:51,0.013397,0.013397,0.013397,,02/17/2020 18:48:51,0.0045391,0.0045391,0.0045391,,02/17/2020 18:29:42,62.8633422851562,62.8633422851562,62.8633422851562,,
02/17/2020 18:39:42,62.9000022888184,62.9000022888184,62.9000022888184,,02/17/2020 18:58:43,1.0014322,1.0014322,1.0014322,,02/17/2020 18:58:43,0.018099,0.018099,0.018099,,02/17/2020 18:58:43,0.0058231,0.0058231,0.0058231,,02/17/2020 18:58:43,0.9670101,0.9670101,0.9670101,,02/17/2020 18:58:43,0.0556996,0.0556996,0.0556996,,02/17/2020 18:58:43,0.0411371,0.0411371,0.0411371,,02/17/2020 18:58:43,0.0162987,0.0162987,0.0162987,,02/17/2020 18:58:43,0.0052532,0.0052532,0.0052532,,02/17/2020 18:39:42,62.9000022888184,62.9000022888184,62.9000022888184,,
02/17/2020 18:49:43,63.0833332061768,63.0833332061768,63.0833332061768,,02/17/2020 19:09:35,1.0153188,1.0153188,1.0153188,,02/17/2020 19:09:35,0.0131687,0.0131687,0.0131687,,02/17/2020 19:09:35,0.004922,0.004922,0.004922,,02/17/2020 19:09:35,1.004912,1.004912,1.004912,,02/17/2020 19:09:35,0.0450446,0.0450446,0.0450446,,02/17/2020 19:09:35,0.0448971,0.0448971,0.0448971,,02/17/2020 19:09:35,0.016042,0.016042,0.016042,,02/17/2020 19:09:35,0.0041014,0.0041014,0.0041014,,02/17/2020 18:49:43,63.0833332061768,63.0833332061768,63.0833332061768,,
02/17/2020 18:58:46,63.2300109863281,63.2300109863281,63.2300109863281,,02/17/2020 19:19:27,1.020253,1.020253,1.020253,,02/17/2020 19:19:26,0.0142782,0.0142782,0.0142782,,02/17/2020 19:19:26,0.0045584,0.0045584,0.0045584,,02/17/2020 19:19:26,0.9879345,0.9879345,0.9879345,,02/17/2020 19:19:26,0.0427225,0.0427225,0.0427225,,02/17/2020 19:19:27,0.0449154,0.0449154,0.0449154,,02/17/2020 19:19:27,0.0131827,0.0131827,0.0131827,,02/17/2020 19:19:27,0.0044451,0.0044451,0.0044451,,02/17/2020 18:58:46,63.2300109863281,63.2300109863281,63.2300109863281,,
